sep=;
"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"java.lang.Object.wait[native]()";"56.03923";"2788957.029 ms";"0.0 ms";"2788957.029 ms";"0.0 ms";"51612"
"sun.misc.Unsafe.park[native]()";"9.33076";"464372.699 ms";"0.0 ms";"464372.699 ms";"0.0 ms";"3"
"java.net.SocketInputStream.socketRead0[native]()";"8.056864";"400973.501 ms";"400973.501 ms";"400973.501 ms";"400973.501 ms";"123"
"sun.management.ThreadImpl.dumpThreads0[native]()";"6.919593";"344373.877 ms";"344373.877 ms";"344373.877 ms";"344373.877 ms";"117"
"java.net.DualStackPlainSocketImpl.accept0[native]()";"6.91261";"344026.374 ms";"0.0 ms";"344026.374 ms";"0.0 ms";"3"
"avrora.sim.output.SimPrinter.printBuffer()";"6.24307";"310704.733 ms";"1823.272 ms";"508135.969 ms";"199254.217 ms";"22759"
"java.io.FileOutputStream.write[native]()";"3.9814262";"198147.379 ms";"198147.379 ms";"198147.379 ms";"198147.379 ms";"9584"
"avrora.sim.clock.RippleSynchronizer.waitForNeighbors()";"0.867451";"43171.251 ms";"4204.144 ms";"1514010.91 ms";"59956.848 ms";"36533"
"java.lang.Object.notifyAll[native]()";"0.64387167";"32044.165 ms";"32044.165 ms";"32044.165 ms";"32044.165 ms";"1576"
"java.lang.Object.hashCode[native]()";"0.5222716";"25992.379 ms";"25992.379 ms";"25992.379 ms";"25992.379 ms";"1237"
"avrora.arch.legacy.LegacyInterpreter.fastLoop()";"0.2535153";"12616.935 ms";"12616.935 ms";"203178.458 ms";"86969.194 ms";"9125"
"avrora.sim.clock.RippleSynchronizer$NotifyEvent.fire()";"0.04640011";"2309.238 ms";"224.414 ms";"4837.948 ms";"2753.113 ms";"241"
"avrora.sim.mcu.DefaultMCU$Pin.write()";"0.025607148";"1274.415 ms";"1274.415 ms";"116482.691 ms";"28558.636 ms";"5520"
"java.io.RandomAccessFile.read0[native]()";"0.0223002";"1109.835 ms";"1109.835 ms";"1109.835 ms";"1109.835 ms";"54"
"java.io.WinNTFileSystem.rename0[native]()";"0.017478522";"869.87 ms";"869.87 ms";"869.87 ms";"869.87 ms";"51"
"avrora.sim.AtmelInterpreter$IORegBehavior.read()";"0.011710812";"582.823 ms";"582.823 ms";"582.823 ms";"582.823 ms";"28"
"avrora.sim.clock.DeltaQueue.insertEvent()";"0.01074939";"534.975 ms";"534.975 ms";"534.975 ms";"534.975 ms";"25"
"java.net.NetworkInterface.getAll[native]()";"0.006982487";"347.504 ms";"347.504 ms";"347.504 ms";"347.504 ms";"2"
"avrora.sim.radio.Medium$Receiver.getIntersection()";"0.0056721456";"282.291 ms";"220.078 ms";"282.291 ms";"220.078 ms";"14"
"java.io.FileOutputStream.close0[native]()";"0.005420357";"269.76 ms";"269.76 ms";"269.76 ms";"269.76 ms";"10"
"java.lang.System.identityHashCode[native]()";"0.004228244";"210.431 ms";"210.431 ms";"210.431 ms";"210.431 ms";"10"
"avrora.sim.clock.RippleSynchronizer.advance()";"0.004068784";"202.495 ms";"202.495 ms";"32246.663 ms";"32246.663 ms";"1585"
"java.net.SocketOutputStream.socketWrite0[native]()";"0.0039236303";"195.271 ms";"195.271 ms";"195.271 ms";"195.271 ms";"11"
"avrora.sim.AtmelInterpreter$IORegBehavior.write()";"0.0030844957";"153.509 ms";"153.509 ms";"116636.228 ms";"28712.146 ms";"5528"
"avrora.sim.radio.Medium$Receiver.earliestNewTransmission()";"0.0028157686";"140.135 ms";"120.533 ms";"239.791 ms";"220.189 ms";"12"
"java.lang.Long.toString()";"0.0027396753";"136.348 ms";"136.348 ms";"157.194 ms";"157.194 ms";"8"
"avrora.sim.radio.Medium$Receiver.waitForNeighbors()";"0.0027370432";"136.217 ms";"136.217 ms";"1514118.471 ms";"60093.066 ms";"36536"
"java.lang.Throwable.fillInStackTrace[native]()";"0.0026921951";"133.985 ms";"133.985 ms";"133.985 ms";"133.985 ms";"5"
