Threads,Methods,Self Time,Self Time (CPU),Time,Time (CPU)
Finalizer,Finalizer,24189003,0,24189003,0
Finalizer,java.lang.Object.wait[native](),24189003,0,24189003,0
Finalizer,java.lang.ref.Finalizer$FinalizerThread.run(),0,0,24189003,0
Finalizer,java.lang.ref.ReferenceQueue.remove(),0,0,48378006,0
JMX server connection timeout 15,JMX server connection timeout 15,24189003,0,24189003,0
JMX server connection timeout 15,com.sun.jmx.remote.internal.ServerCommunicatorAdmin$Timeout.run(),0,0,24189003,0
JMX server connection timeout 15,java.lang.Object.wait[native](),24189003,0,24189003,0
JMX server connection timeout 15,java.lang.Thread.run(),0,0,24189003,0
RMI Scheduler(0),RMI Scheduler(0),24189003,0,24189003,0
RMI Scheduler(0),java.lang.Thread.run(),0,0,24189003,0
RMI Scheduler(0),java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(),0,0,48378006,0
RMI Scheduler(0),java.util.concurrent.ThreadPoolExecutor$Worker.run(),0,0,24189003,0
RMI Scheduler(0),java.util.concurrent.ThreadPoolExecutor.getTask(),0,0,24189003,0
RMI Scheduler(0),java.util.concurrent.ThreadPoolExecutor.runWorker(),0,0,24189003,0
RMI Scheduler(0),java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(),0,0,24189003,0
RMI Scheduler(0),java.util.concurrent.locks.LockSupport.parkNanos(),0,0,24189003,0
RMI Scheduler(0),sun.misc.Unsafe.park[native](),24189003,0,24189003,0
RMI TCP Accept-0,RMI TCP Accept-0,24189003,0,24189003,0
RMI TCP Accept-0,java.lang.Thread.run(),0,0,24189003,0
RMI TCP Accept-0,java.net.AbstractPlainSocketImpl.accept(),0,0,24189003,0
RMI TCP Accept-0,java.net.DualStackPlainSocketImpl.accept0[native](),24189003,0,24189003,0
RMI TCP Accept-0,java.net.DualStackPlainSocketImpl.socketAccept(),0,0,24189003,0
RMI TCP Accept-0,java.net.PlainSocketImpl.accept(),0,0,24189003,0
RMI TCP Accept-0,java.net.ServerSocket.accept(),0,0,24189003,0
RMI TCP Accept-0,java.net.ServerSocket.implAccept(),0,0,24189003,0
RMI TCP Accept-0,sun.management.jmxremote.LocalRMIServerSocketFactory$1.accept(),0,0,24189003,0
RMI TCP Accept-0,sun.rmi.transport.tcp.TCPTransport$AcceptLoop.executeAcceptLoop(),0,0,24189003,0
RMI TCP Accept-0,sun.rmi.transport.tcp.TCPTransport$AcceptLoop.run(),0,0,24189003,0
RMI TCP Connection(1)-129.206.61.71,RMI TCP Connection(1)-129.206.61.71,24189003,24189003,24189003,24189003
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.invoke(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.mbeanserver.ConvertingMethod.invokeWithOpenReturn(),0,0,12635012,12635012
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.mbeanserver.JmxMBeanServer.invoke(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.mbeanserver.MBeanIntrospector.invokeM(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.mbeanserver.MBeanSupport.invoke(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.mbeanserver.MXBeanIntrospector.invokeM2(),0,0,12635012,12635012
RMI TCP Connection(1)-129.206.61.71,com.sun.jmx.mbeanserver.PerInterface.invoke(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,java.io.BufferedInputStream.fill(),0,0,17851906,17851906
RMI TCP Connection(1)-129.206.61.71,java.io.BufferedInputStream.read(),0,0,17851906,17851906
RMI TCP Connection(1)-129.206.61.71,java.io.FilterInputStream.read(),0,0,17851906,17851906
RMI TCP Connection(1)-129.206.61.71,java.lang.Object.clone[native](),19591,19591,19591,19591
RMI TCP Connection(1)-129.206.61.71,java.lang.Thread.run(),0,0,24189003,24189003
RMI TCP Connection(1)-129.206.61.71,java.lang.reflect.Method.getParameterTypes(),0,0,19591,19591
RMI TCP Connection(1)-129.206.61.71,java.lang.reflect.Method.invoke(),0,0,18952518,18952518
RMI TCP Connection(1)-129.206.61.71,java.net.SocketInputStream.read(),0,0,35703812,35703812
RMI TCP Connection(1)-129.206.61.71,java.net.SocketInputStream.socketRead(),0,0,17851906,17851906
RMI TCP Connection(1)-129.206.61.71,java.net.SocketInputStream.socketRead0[native](),17851906,17851906,17851906,17851906
RMI TCP Connection(1)-129.206.61.71,java.security.AccessController.doPrivileged[native](),0,0,30526100,30526100
RMI TCP Connection(1)-129.206.61.71,java.util.concurrent.ThreadPoolExecutor$Worker.run(),0,0,24189003,24189003
RMI TCP Connection(1)-129.206.61.71,java.util.concurrent.ThreadPoolExecutor.runWorker(),0,0,24189003,24189003
RMI TCP Connection(1)-129.206.61.71,javax.management.StandardMBean.invoke(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation.run(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,javax.management.remote.rmi.RMIConnectionImpl.access$300(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,javax.management.remote.rmi.RMIConnectionImpl.doOperation(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,javax.management.remote.rmi.RMIConnectionImpl.doPrivilegedOperation(),0,0,6317506,6317506
RMI TCP Connection(1)-129.206.61.71,javax.management.remote.rmi.RMIConnectionImpl.invoke(),0,0,6317506,6317506
