"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"java.lang.Object";"33.6372";"72764.526 ms";"197.517 ms";"72764.526 ms";"197.517 ms";"13"
"java.net.SocketInputStream";"21.706697";"46956.271 ms";"46956.271 ms";"46956.271 ms";"46956.271 ms";"64"
"sun.misc.Unsafe";"11.181965";"24189.003 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"1"
"java.net.DualStackPlainSocketImpl";"11.181965";"24189.003 ms";"0.0 ms";"24189.003 ms";"0.0 ms";"2"
"sun.management.ThreadImpl";"11.181964";"24189.002 ms";"24189.002 ms";"24189.002 ms";"24189.002 ms";"32"
"java.io.FileOutputStream";"2.3908932";"5172.018 ms";"5172.018 ms";"5172.018 ms";"5172.018 ms";"725"
"java.security.AccessController";"1.2522482";"2708.883 ms";"2708.883 ms";"74455.185 ms";"74455.185 ms";"202"
"sun.misc.FloatingDecimal$BinaryToASCIIBuffer";"0.95728725";"2070.819 ms";"2070.819 ms";"2070.819 ms";"2070.819 ms";"94"
"org.apache.fop.fo.properties.PropertyMaker";"0.6653196";"1439.23 ms";"1439.23 ms";"2427.216 ms";"2427.216 ms";"410"
"java.io.WinNTFileSystem";"0.39749384";"859.865 ms";"859.865 ms";"877.345 ms";"877.345 ms";"100"
"java.text.DigitList";"0.37934077";"820.596 ms";"820.596 ms";"2788.506 ms";"2788.506 ms";"179"
"org.apache.fop.fo.FObj";"0.3750897";"811.4 ms";"811.4 ms";"3547.526 ms";"3547.526 ms";"136"
"org.apache.fop.render.ps.PSRenderer";"0.332915";"720.167 ms";"720.167 ms";"6717.277 ms";"6717.277 ms";"1223"
"org.apache.xmlgraphics.ps.PSGenerator";"0.30876806";"667.932 ms";"667.932 ms";"5074.199 ms";"5074.199 ms";"347"
"java.text.DecimalFormat";"0.3031505";"655.78 ms";"655.78 ms";"3444.286 ms";"3444.286 ms";"307"
"org.apache.fop.fo.FONode";"0.23956509";"518.231 ms";"518.231 ms";"518.231 ms";"518.231 ms";"154"
"org.apache.fop.fo.properties.PropertyCache";"0.21224558";"459.133 ms";"459.133 ms";"498.667 ms";"498.667 ms";"82"
"java.io.FileInputStream";"0.19704829";"426.258 ms";"426.258 ms";"426.258 ms";"426.258 ms";"42"
"java.lang.StringBuffer";"0.19318321";"417.897 ms";"417.897 ms";"475.212 ms";"475.212 ms";"24"
"org.apache.fop.fo.properties.CompoundPropertyMaker";"0.18933293";"409.568 ms";"409.568 ms";"1207.168 ms";"1207.168 ms";"149"
"org.apache.fop.layoutmgr.PositionIterator";"0.18904217";"408.939 ms";"408.939 ms";"408.939 ms";"408.939 ms";"20"
"org.apache.fop.fo.XMLWhiteSpaceHandler";"0.15967384";"345.409 ms";"345.409 ms";"521.956 ms";"521.956 ms";"69"
"java.lang.String";"0.14838788";"320.995 ms";"320.995 ms";"402.433 ms";"402.433 ms";"20"
"org.apache.fop.layoutmgr.BreakingAlgorithm";"0.1336806";"289.18 ms";"289.18 ms";"472.649 ms";"472.649 ms";"68"
"org.apache.fop.fo.PropertyList";"0.11209653";"242.489 ms";"242.489 ms";"3052.967 ms";"3052.967 ms";"469"
"org.apache.fop.fonts.Font";"0.1038722";"224.698 ms";"224.698 ms";"262.715 ms";"262.715 ms";"23"
"org.apache.fop.fo.FOTreeBuilder$MainFOHandler";"0.10285104";"222.489 ms";"222.489 ms";"17755.997 ms";"17755.997 ms";"258"
"org.apache.xmlgraphics.ps.PSFontUtils";"0.08362734";"180.904 ms";"180.904 ms";"199.834 ms";"199.834 ms";"10"
"java.lang.Throwable";"0.08046955";"174.073 ms";"174.073 ms";"174.073 ms";"174.073 ms";"21"
"org.apache.xerces.impl.XMLEntityScanner";"0.07565449";"163.657 ms";"163.657 ms";"729.608 ms";"729.608 ms";"57"
"java.util.HashMap";"0.07279625";"157.474 ms";"157.474 ms";"304.619 ms";"304.619 ms";"26"
"org.apache.fop.render.AbstractRenderer";"0.060282934";"130.405 ms";"130.405 ms";"6218.477 ms";"6218.477 ms";"3090"
"org.apache.fop.fo.expr.PropertyParser";"0.054798968";"118.542 ms";"118.542 ms";"216.923 ms";"216.923 ms";"50"
"org.apache.fop.layoutmgr.AbstractLayoutManager";"0.053558685";"115.859 ms";"115.859 ms";"285.604 ms";"285.604 ms";"34"
"org.apache.fop.fo.properties.CommonFont";"0.050745282";"109.773 ms";"109.773 ms";"323.141 ms";"323.141 ms";"17"
"org.apache.fop.layoutmgr.SpaceResolver";"0.047415517";"102.57 ms";"102.57 ms";"163.056 ms";"163.056 ms";"12"
"org.apache.fop.layoutmgr.BlockLayoutManager";"0.047337394";"102.401 ms";"102.401 ms";"4531.528 ms";"4531.528 ms";"228"
"org.apache.fop.render.AbstractPathOrientedRenderer";"0.04653997";"100.676 ms";"100.676 ms";"5799.092 ms";"5799.092 ms";"277"
"java.lang.System";"0.041671753";"90.145 ms";"90.145 ms";"90.145 ms";"90.145 ms";"13"
"org.apache.fop.fo.properties.FontFamilyProperty$Maker";"0.03719555";"80.462 ms";"80.462 ms";"119.057 ms";"119.057 ms";"6"
